**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
-1.923837  +/-  6108884665.178027
-1.087482  +/-  7186855680.323098
2.265635  +/-  6678670993.786399
3.08488  +/-  12199468759.460997
2.312685  +/-  12697675234.358728
1.196523  +/-  12795052499.125244
0.054739  +/-  11933580765.113384
-0.205891  +/-  6569586580.139332
-1.15772  +/-  7400145861.037139
-0.034138  +/-  6961102513.498922
-1.328798  +/-  9079116779.396875
-2.446615  +/-  9227749845.513624
1.747719  +/-  10906120336.802902
3.107031  +/-  9846735813.34208
2.645657  +/-  10990100697.042648
1.727771  +/-  9922964519.718555
0.669624  +/-  11096340640.436417
0.0  +/-  9810168395.347631
-0.625819  +/-  10796349762.678104
-1.148528  +/-  8977046526.638775
0.0  +/-  8973358952.80432
-0.688148  +/-  6040908644.184212
-3.62413  +/-  5453326822.758107
1.187896  +/-  5024044086.600943
3.024238  +/-  8583798938.782664
2.857825  +/-  7840711251.789116
2.149635  +/-  10585819419.26784
1.226227  +/-  10407564844.080252
0.261909  +/-  8066833948.006751
-0.0  +/-  8768615182.317791
-0.88923  +/-  5071223918.313268
-1.074999  +/-  5368011872.85078
0.067722  +/-  5488013075.262716
-0.134526  +/-  6864898049.433896
-4.65424  +/-  6623364122.498851
0.566763  +/-  8018097477.97351
2.819824  +/-  7025495459.822031
2.929862  +/-  8939967602.942524
2.431514  +/-  11014727344.904556
1.66352  +/-  7430093280.153631
0.793269  +/-  11375185446.552273
0.0  +/-  8677192807.9193
-0.0  +/-  6923150063.667853
-1.087394  +/-  7995677484.62559
-0.977711  +/-  6343728461.459986
0.187636  +/-  7068434743.632654
0.208241  +/-  7601219958.071126
-5.202483  +/-  6378791076.184007
0.0  +/-  8988232185.72608
2.348662  +/-  8394223520.319845
2.865933  +/-  9909068612.62556
2.572504  +/-  8829857515.168827
1.966194  +/-  9101592363.2987
1.215333  +/-  9118913718.790104
0.420069  +/-  8801969288.306658
0.0  +/-  9809620428.441364
-0.106186  +/-  8376687492.485477
-1.292617  +/-  8911435321.254467
-0.88623  +/-  6440846248.879564
0.266293  +/-  7232695334.251757
0.825773  +/-  5527293036.255695
-5.844641  +/-  5463664665.340586
-0.0  +/-  5661864656.855104
1.25017  +/-  7560845602.033937
