**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.0011513953993264434


Parameters with uncertainties
0.0  +/-  3e-06
-5.549899  +/-  3e-06
0.0  +/-  4e-06
2.702463  +/-  3e-06
3.136037  +/-  4e-06
2.792734  +/-  4e-06
2.13125  +/-  4e-06
1.322709  +/-  4e-06
0.465874  +/-  3e-06
0.0  +/-  4e-06
-0.360538  +/-  3e-06
-1.357153  +/-  4e-06
-0.964474  +/-  3e-06
0.180271  +/-  3e-06
0.742343  +/-  2e-06
-6.247853  +/-  2e-06
-0.0  +/-  2e-06
1.434728  +/-  3e-06
2.972438  +/-  3e-06
2.836809  +/-  3e-06
2.347508  +/-  4e-06
1.680395  +/-  3e-06
0.930871  +/-  4e-06
0.165303  +/-  3e-06
0.0  +/-  3e-06
-0.576309  +/-  3e-06
-1.307769  +/-  2e-06
-0.828904  +/-  2e-06
0.243474  +/-  2e-06
1.306271  +/-  2e-06
-6.668806  +/-  2e-06
-0.553607  +/-  2e-06
0.850164  +/-  3e-06
2.729848  +/-  3e-06
2.780367  +/-  3e-06
2.451165  +/-  3e-06
1.921031  +/-  3e-06
1.28525  +/-  3e-06
0.603175  +/-  3e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.780218  +/-  3e-06
-1.244301  +/-  2e-06
-0.704018  +/-  2e-06
0.279597  +/-  2e-06
1.757946  +/-  3e-06
-6.804284  +/-  2e-06
-1.129295  +/-  3e-06
0.354692  +/-  3e-06
2.431799  +/-  3e-06
2.646502  +/-  3e-06
2.463823  +/-  3e-06
2.062805  +/-  2e-06
1.539445  +/-  3e-06
0.950481  +/-  2e-06
0.336625  +/-  3e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-1.007896  +/-  3e-06
-1.165313  +/-  3e-06
-0.583804  +/-  2e-06
0.298645  +/-  3e-06
2.091684  +/-  2e-06
-6.69755  +/-  2e-06
-1.636208  +/-  3e-06
0.0  +/-  3e-06
1.942431  +/-  4e-06
2.454383  +/-  3e-06
2.40374  +/-  3e-06
2.122015  +/-  2e-06
1.705608  +/-  3e-06
1.210544  +/-  3e-06
0.673482  +/-  2e-06
0.124859  +/-  3e-06
0.0  +/-  3e-06
-0.012611  +/-  4e-06
-1.124658  +/-  3e-06
-1.078146  +/-  3e-06
-0.471546  +/-  2e-06
0.303517  +/-  2e-06
2.318974  +/-  1e-06
-6.382588  +/-  2e-06
-2.067621  +/-  2e-06
-0.0  +/-  3e-06
1.063  +/-  3e-06
2.224327  +/-  3e-06
2.289933  +/-  2e-06
2.115884  +/-  3e-06
1.798133  +/-  2e-06
1.392616  +/-  3e-06
0.934282  +/-  2e-06
0.448621  +/-  3e-06
0.0  +/-  2e-06
0.0  +/-  3e-06
-0.143291  +/-  3e-06
-1.088077  +/-  3e-06
-0.987615  +/-  2e-06
-0.368657  +/-  2e-06
0.297628  +/-  1e-06
2.437042  +/-  2e-06
-5.900018  +/-  2e-06
-2.420472  +/-  2e-06
-0.0  +/-  3e-06
0.207091  +/-  3e-06
1.967302  +/-  3e-06
2.133934  +/-  2e-06
2.055916  +/-  2e-06
1.827749  +/-  2e-06
1.505302  +/-  2e-06
1.12291  +/-  2e-06
0.703689  +/-  2e-06
0.266602  +/-  3e-06
0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.303875  +/-  3e-06
-1.039189  +/-  3e-06
-0.895579  +/-  2e-06
-0.274193  +/-  2e-06
0.284241  +/-  2e-06
2.466539  +/-  3e-06
-5.289776  +/-  2e-06
-2.699416  +/-  3e-06
-0.315127  +/-  4e-06
0.0  +/-  3e-06
1.404464  +/-  3e-06
1.945614  +/-  2e-06
1.952606  +/-  2e-06
1.805082  +/-  2e-06
1.55859  +/-  2e-06
1.247295  +/-  2e-06
0.893271  +/-  2e-06
0.512669  +/-  2e-06
0.120496  +/-  2e-06
0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.400563  +/-  3e-06
-0.983761  +/-  4e-06
-0.805975  +/-  3e-06
-0.189464  +/-  2e-06
0.264866  +/-  3e-06
2.432282  +/-  2e-06
-4.580953  +/-  2e-06
-2.907198  +/-  3e-06
-0.676742  +/-  3e-06
0.0  +/-  3e-06
0.723723  +/-  3e-06
1.736868  +/-  3e-06
1.817833  +/-  2e-06
1.741805  +/-  2e-06
1.563599  +/-  2e-06
1.317284  +/-  2e-06
1.024533  +/-  2e-06
0.700121  +/-  2e-06
0.355941  +/-  2e-06
0.004513  +/-  2e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.447829  +/-  3e-06
-0.924788  +/-  3e-06
-0.720227  +/-  3e-06
-0.113758  +/-  2e-06
0.242005  +/-  2e-06
2.337201  +/-  1e-06
-3.803034  +/-  2e-06
-3.047293  +/-  3e-06
-0.996509  +/-  2e-06
-0.0  +/-  3e-06
0.066977  +/-  3e-06
1.517149  +/-  3e-06
1.661355  +/-  2e-06
1.647811  +/-  2e-06
1.530139  +/-  2e-06
1.342198  +/-  2e-06
1.105518  +/-  2e-06
0.834248  +/-  2e-06
0.538657  +/-  2e-06
0.227958  +/-  2e-06
0.0  +/-  2e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.530283  +/-  3e-06
-0.862866  +/-  2e-06
-0.637647  +/-  3e-06
-0.045071  +/-  2e-06
0.217857  +/-  1e-06
2.187716  +/-  1e-06
-2.987162  +/-  2e-06
-3.127172  +/-  2e-06
-1.27383  +/-  2e-06
-0.0  +/-  3e-06
0.0  +/-  2e-06
0.71014  +/-  2e-06
1.494893  +/-  2e-06
1.534881  +/-  2e-06
1.469927  +/-  2e-06
1.333479  +/-  2e-06
1.146976  +/-  2e-06
0.924309  +/-  2e-06
0.674937  +/-  2e-06
0.406269  +/-  2e-06
0.125778  +/-  2e-06
0.0  +/-  2e-06
0.0  +/-  2e-06
-0.0  +/-  2e-06
-0.567095  +/-  3e-06
-0.801015  +/-  2e-06
-0.560291  +/-  2e-06
-0.0  +/-  2e-06
0.200941  +/-  1e-06
1.990045  +/-  2e-06
-2.162507  +/-  3e-06
-3.152554  +/-  2e-06
-1.505832  +/-  3e-06
-0.229987  +/-  3e-06
-0.0  +/-  3e-06
0.144953  +/-  2e-06
1.320067  +/-  2e-06
1.405733  +/-  2e-06
1.386559  +/-  2e-06
1.295366  +/-  2e-06
1.153461  +/-  2e-06
0.974637  +/-  2e-06
0.767987  +/-  2e-06
0.539976  +/-  2e-06
0.296161  +/-  2e-06
0.042868  +/-  2e-06
0.0  +/-  2e-06
0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.572678  +/-  3e-06
-0.741989  +/-  3e-06
-0.490002  +/-  2e-06
-0.0  +/-  3e-06
0.199793  +/-  3e-06
1.775268  +/-  3e-06
-1.342233  +/-  2e-06
-3.127711  +/-  2e-06
-1.692851  +/-  3e-06
-0.471335  +/-  3e-06
-0.0  +/-  3e-06
0.0  +/-  3e-06
0.791041  +/-  2e-06
1.270704  +/-  3e-06
1.29045  +/-  2e-06
1.238317  +/-  2e-06
1.135365  +/-  2e-06
0.995326  +/-  2e-06
0.827141  +/-  2e-06
0.636812  +/-  2e-06
0.428848  +/-  2e-06
0.20758  +/-  2e-06
0.0  +/-  3e-06
0.0  +/-  2e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.562575  +/-  3e-06
-0.683627  +/-  3e-06
-0.424296  +/-  2e-06
-0.0  +/-  2e-06
0.191542  +/-  3e-06
1.529632  +/-  1e-06
-0.554233  +/-  1e-06
-3.065043  +/-  3e-06
-1.840193  +/-  3e-06
-0.681811  +/-  2e-06
-0.0  +/-  3e-06
